request_id,title,search_keyword,target_sites,ebay_price_jpy,ebay_url
154,KTM Racing T Shirt New S-5XL 2025 Off-road and street motorcycles Racing Tee,KTM Racing T シャツ New S-5XL 2025 Off-road and street motorcycles Racing Tee,mercari;yahoo,2942,https://www.ebay.com/itm/365827854209?_skw=KTM&hash=item552d0a0f81:g:1l0AAeSwoZVor9Lv
155,260MM 220MM Front Rear Brake Disc Rotor 2PCS Compatible with KTM 125 250 350,260MM 220MM Front Rear Brake Disc Rotor 2PCS Compatible with KTM 125 250 350,mercari;yahoo,13400,https://www.ebay.com/itm/188340264015?_skw=KTM&hash=item2bd9f45c4f:g:LGAAAeSw2Cpp8jkP
156,Motorcycle Handlebar Mounts Clamp Riser Aluminum Compatible with KTM Silver,Motorcycle Handlebar Mounts Clamp Riser Aluminum Compatible with KTM Silver,mercari;yahoo,5523,https://www.ebay.com/itm/318326116202?_skw=KTM&hash=item4a1db70f6a:g:6bwAAeSwtppqDCoQ
157,CNC for KTM 125 250 300 350 400 450 500 EXC EXCF XC XCF XCW SX SXF TPI Sixdays 2,CNC for KTM 125 250 300 350 400 450 500 EXC EXCF XC XCF XCW SX SXF TPI Sixdays 2,mercari;yahoo,3381,https://www.ebay.com/itm/388393636050?_skw=KTM&hash=item5a6e1090d2:g:locAAOSwx9pnCDSd
158,HOT Men Red Bull KTM Factory Racing Print Polo Shirt S-5XL,HOT Men Red Bull KTM Factory Racing Print Polo シャツ S-5XL,mercari;yahoo,3873,https://www.ebay.com/itm/137347377925?_skw=KTM&hash=item1ffa8aab05:g:JCcAAeSw6wJqFakP
159,KTM Genuine Clutch Cover Gasket Outside - 55430027000,KTM Genuine Clutch Cover Gasket Outside - 55430027000,mercari;yahoo,2139,https://www.ebay.com/itm/306903098276?_skw=KTM&hash=item4774d9a3a4:g:JtIAAeSwcnFp7eZS
160, Bottom End Kit For KTM 300 XC-W 2008-2014 CBK0011 ,Bottom End Kit For KTM 300 XC-W 2008-2014 CBK0011,mercari;yahoo,53796,https://www.ebay.com/itm/236389578877?_skw=KTM&hash=item3709eab87d:g:924AAeSwGP9o7pZS
161,NOS OEM GENUINE ORIGINAL KTM LOCK ON GRIP SET ORANGE P/N A46002921500EB NEW,NOS OEM GENUINE ORIGINAL KTM LOCK ON GRIP SET ORANGE P/N A46002921500EB NEW,mercari;yahoo,1548,https://www.ebay.com/itm/376644152613?_skw=KTM&hash=item57b1bdad25:g:wZcAAeSwx69o-lf2
162,Factory Pivot Brake Clutch Levers Adjustable for KTM 2014-2024 - Replaces Black,Factory Pivot Brake Clutch Levers Adjustable for KTM 2014-2024 - Replaces Black,mercari;yahoo,14409,https://www.ebay.com/itm/397973280252?_skw=KTM&hash=item5ca90e55fc:g:ki0AAeSwKuRqDuWt
163,Teket Magnet swingarm protectors Ktm Sx 125 / 250 / 350 / 450 2025 black,Teket Magnet swingarm protectors Ktm Sx 125 / 250 / 350 / 450 2025 black,mercari;yahoo,13507,https://www.ebay.com/itm/137396192511?_skw=KTM&hash=item1ffd7384ff:g:aYgAAeSwnelqKB6Y
164,Magneto Flywheel Puller Tool (24mm&27mm) for Kawasaki Honda Yamaha KTM...,Magneto Flywheel Puller Tool (24mm&27mm) for Kawasaki Honda Yamaha KTM...,mercari;yahoo,2013,https://www.ebay.com/itm/298185166269?_skw=KTM&hash=item456d388dbd:g:0VQAAeSwaMJpzi61
165,KTM SX 65 Rear Wheel Bearings  2000 - 2016,KTM SX 65 Rear Wheel Bearings 2000 - 2016,mercari;yahoo,1598,https://www.ebay.com/itm/336285751499?_skw=KTM&hash=item4e4c3158cb:g:ol0AAOSwOjtfUizF
166,Swingarm KTM 525SX 525 graphics kit Sticker Tank Pair Decal,Swingarm KTM 525SX 525 graphics kit Sticker Tank Pair Decal,mercari;yahoo,2086,https://www.ebay.com/itm/296444246378?_skw=KTM&hash=item450574396a:g:9NMAAOSwjiRmSfHh
167,KTM Genuine Spacer Bushing Guide Rail 05 - 77036004050,KTM Genuine Spacer Bushing Guide Rail 05 - 77036004050,mercari;yahoo,976,https://www.ebay.com/itm/306881822770?_skw=KTM&hash=item4773950032:g:yY8AAeSwS-xp32Js
168,IHCM 1/64 Scale KTM X-Bow GT-XR Racing Sports Diecast Alloy Model Car Gifts Toy,IHCM 1/64 Scale KTM X-Bow GT-XR Racing Sports Diecast Alloy Model Car Gifts Toy,mercari;yahoo,10848,https://www.ebay.com/itm/267634144122?_skw=KTM&hash=item3e503cf37a:g:yMkAAeSwKuhp19vC
169,1pcs KTM-WP11181P sick brand new ones New quality assurance 100% Brand new ones,1pcs KTM-WP11181P sick brand new ones New quality assurance 100% Brand new ones,mercari;yahoo,11830,https://www.ebay.com/itm/287165819300?_skw=KTM&hash=item42dc6aa9a4:g:vp4AAeSwmG1poAMs
170,KTM Genuine Valve Spring Holder Exhaust - 78036136000,KTM Genuine Valve Spring Holder Exhaust - 78036136000,mercari;yahoo,976,https://www.ebay.com/itm/298230444900?_skw=KTM&hash=item456feb7364:g:8C4AAeSwrHRp4Akc
171,KTM 690 SMC 2012-2025 CRASH MUSHROOMS FRAME SLIDERS PROTECTORS BOBBINS KNOB R8A3,KTM 690 SMC 2012-2025 CRASH MUSHROOMS FRAME SLIDERS PROTECTORS BOBBINS KNOB R8A3,mercari;yahoo,10749,https://www.ebay.com/itm/264654016917?_skw=KTM&hash=item3d9e9bd195:g:N8cAAOSwY5Ra4ew-
172,KTM Genuine Joint Head Cmp6 - 54813055100,KTM Genuine Joint Head Cmp6 - 54813055100,mercari;yahoo,3164,https://www.ebay.com/itm/306903084160?fits=Make%3AKTM&_skw=KTM&hash=item4774d96c80:g:nBcAAeSwqZVp7eQV
173,Brand New KTM Hoodie Motorcycle Pullover 3D Digital Printing Men's Fashion,Brand New KTM パーカー Motorcycle Pullover 3D Digital Printing Men's Fashion,mercari;yahoo,4803,https://www.ebay.com/itm/366363797673?_skw=KTM&hash=item554cfbe8a9:g:1nQAAeSwI-lp6YHw
174,Complete Top & Bottom End Gasket Set Fits KTM 250 SX EXC 2T 2007-2016,Complete Top & Bottom End Gasket Set Fits KTM 250 SX EXC 2T 2007-2016,mercari;yahoo,4433,https://www.ebay.com/itm/137159218310?_skw=KTM&hash=item1fef539486:g:Y48AAeSwZZho-ssv
175,KTM  EXC 2008 2009 2010 2011 ALL MODELS  plantilla vector  a escala real 1:1,KTM EXC 2008 2009 2010 2011 ALL MODELS plantilla vector a escala real 1:1,mercari;yahoo,1858,https://www.ebay.com/itm/365251200646?_skw=KTM&hash=item550aab0686:g:pCAAAOSwaWdl7g8P
176,KTM-10 Sylvania Joslyn Clark Auxiliary Contact KTM10,KTM-10 Sylvania Joslyn Clark Auxiliary Contact KTM10,mercari;yahoo,4648,https://www.ebay.com/itm/285930690211?_skw=KTM&hash=item4292cc16a3:g:DSYAAOSwIOVmfZso
177,Rear Sprocket Locking Nut x 2 (Stainless Steel) fits KTM 690 Supermoto R 2008 ,Rear Sprocket Locking Nut x 2 (Stainless Steel) fits KTM 690 Supermoto R 2008,mercari;yahoo,724,https://www.ebay.com/itm/144284864901?_skw=KTM&hash=item21980c5185:g:OgwAAMXQxzZRffav
178,✅ 2023 HUSQVARNA TC85 CDI HARNESS COIL 🏁 47239031100 MC SX TC 85 85SX  290 ✅,✅ 2023 HUSQVARNA TC85 CDI HARNESS COIL 🏁 47239031100 MC SX TC 85 85SX 290 ✅,mercari;yahoo,17050,https://www.ebay.com/itm/168444249754?fits=Make%3AKTM&_skw=KTM&hash=item27380f469a:g:sfcAAeSwbjZpCCNv
179,Motorcycle 6 Pin Euro5 OBD Adapter KTM Piaggio Vespa ECU Diagnostic Plug Cable,Motorcycle 6 Pin Euro5 OBD Adapter KTM Piaggio Vespa ECU Diagnostic Plug Cable,mercari;yahoo,2154,https://www.ebay.com/itm/366164149468?_skw=KTM&hash=item55411584dc:g:8W0AAeSwDXtpfa6c
180,KTM Silver Laser Engraved Aluminum vanity plate,KTM Silver Laser Engraved Aluminum vanity plate,mercari;yahoo,2649,https://www.ebay.com/itm/336601918249?_skw=KTM&hash=item4e5f09ab29:g:m6sAAeSwdJBqFPoI
181,Complete Engine Gasket Set Kit FOR KTM 250 SX EXC 2-Stroke (2007-2016),Complete Engine Gasket Set Kit FOR KTM 250 SX EXC 2-Stroke (2007-2016),mercari;yahoo,4572,https://www.ebay.com/itm/389136072833?_skw=KTM&hash=item5a9a514081:g:hJUAAeSweSJo-sst
182,KTM 450 500 exc 690 990 1190 Duke Adv SM FALL SENSOR 61041088000 Rollover Sensor,KTM 450 500 exc 690 990 1190 Duke Adv SM FALL SENSOR 61041088000 Rollover Sensor,mercari;yahoo,5425,https://www.ebay.com/itm/205026126008?_skw=KTM&hash=item2fbc8268b8:g:trwAAOSwlF9mGqN9
183,✅ 2018-2024 KTM 85SX  FMF  SHORTY  SILENCER 🏁 MUFFLER EXHAUST PIPE TC85 31422 ✅,✅ 2018-2024 KTM 85SX FMF SHORTY SILENCER 🏁 MUFFLER EXHAUST PIPE TC85 31422 ✅,mercari;yahoo,25769,https://www.ebay.com/itm/168440911768?fits=Make%3AKTM&_skw=KTM&hash=item2737dc5798:g:aLsAAeSwRohp2B1P
184,New All-In-One Engine Gasket Assembly KTM 250 SXF 2005-2012,New All-In-One Engine Gasket Assembly KTM 250 SXF 2005-2012,mercari;yahoo,5658,https://www.ebay.com/itm/137168468967?_skw=KTM&hash=item1fefe0bbe7:g:Dy4AAeSweR9piotq
185,Blank Key For KTM 790 890 EX 250 990 1090 New Model,Blank Key For KTM 790 890 EX 250 990 1090 New Model,mercari;yahoo,3274,https://www.ebay.com/itm/315034837593?_skw=KTM&hash=item49598a2259:g:wv0AAOSwtatlfYAi
186,KTM Factory Tool Box Pen Holder Garage Desk Organizer Man Cave Decor Gift,KTM Factory Tool Box Pen Holder Garage Desk Organizer Man Cave Decor Gift,mercari;yahoo,3875,https://www.ebay.com/itm/157305991576?_skw=KTM&hash=item24a02af198:g:Im8AAeSwK7FovvAF
187,Racing Master Cylinder Rebuild Kit Compatible with/Replacement For Husaberg F...,Racing Master Cylinder Rebuild Kit Compatible with/Replacement For Husaberg F...,mercari;yahoo,7597,https://www.ebay.com/itm/800042885115?_skw=KTM&hash=itemba46459ffb:g:JRAAAeSwur5qDUP3
