request_id,title,search_keyword,target_sites,ebay_price_jpy,ebay_url
033,Motorcycle Rear Brake Master Cylinder Pump For KTM XCW XCF-W EXC EXC-F SX SXF XC,Motorcycle Rear Brake Master Cylinder Pump For KTM XCW XCF-W EXC EXC-F SX SXF XC,mercari;yahoo,3824,https://www.ebay.com/itm/388411146286?_skw=KTM&hash=item5a6f1bc02e:g:dK4AAOSwuoxoHsMq
034,"KTM RACING 12""x18"" Metal Sign Garage Man Cave","KTM RACING 12""x18"" Metal Sign Garage Man Cave",mercari;yahoo,4487,https://www.ebay.com/itm/327196205166?_skw=KTM&hash=item4c2e69e06e:g:wrQAAeSwyRRpAkmQ
035,1:12 MOBIL 1 COMPLETELY OUT OF PRODUCTION OFFICIAL KTM RC16 JACK MILLER #43 NEW!,1:12 MOBIL 1 COMPLETELY OUT OF PRODUCTION OFFICIAL KTM RC16 JACK MILLER #43 NEW!,mercari;yahoo,3873,https://www.ebay.com/itm/277716845999?_skw=KTM&hash=item40a936c5af:g:CmQAAeSwFMZpcq-W
036,Red Bull KTM Racing Team Replica Team Tee,Red Bull KTM Racing Team Replica Team Tee,mercari;yahoo,6510,https://www.ebay.com/itm/405972637346?_skw=KTM&hash=item5e85dad6a2:g:l9EAAOSwsfdoTfvl
037,NewRay KTM 450 SX-F Red Bull Cooper Webb #2 Dirt Bike 1:12,NewRay KTM 450 SX-F Red Bull Cooper Webb #2 Dirt Bike 1:12,mercari;yahoo,5110,https://www.ebay.com/itm/225672440664?_skw=KTM&hash=item348b202b58:g:fTQAAOSwTFRksh9o
038,Oil Filter 77338005100 Fit for KTM Husqvarna FC FE FX 250 350 450 501 2014-2022,Oil Filter 77338005100 Fit for KTM Husqvarna FC FE FX 250 350 450 501 2014-2022,mercari;yahoo,2092,https://www.ebay.com/itm/357070777594?_skw=KTM&hash=item532313acfa:g:SbcAAOSwpt9oSAZ6
039,Motorcycle Front & Rear Brake Pads For KTM XC XC-F XCF-W XC-W SX SX-F EXC EXC-F,Motorcycle Front & Rear Brake Pads For KTM XC XC-F XCF-W XC-W SX SX-F EXC EXC-F,mercari;yahoo,3563,https://www.ebay.com/itm/800094935477?_skw=KTM&hash=itemba495fd9b5:g:xBMAAeSwWUJqGtBQ&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGZMbePvYmbTuAjSd5vUdQIFUr75YCMwR9gXnizAa4zbEBr7pSGXBUfF8s1s%2FsNz9IV4QrTMM1KWgLtcp6qLhU87ePSosvyjNSwifcDzNn7%2FdansI3NZU3ZyhKegjxobF2wD30n5YRqtsMVHddUWxoimtCi1WU3GcQNqB28khMTuHwkddQMD9Ovvc73N99n1fbw2NVL711B07Wef2kuCnJz0aBWgD%2BVd6HGpt9aCYC3R%2FUMX6EnNcs7sjq7Q%2BIRBbu2%2FjvIEQRPCRs1f%2Bz1p24d7
040,KTM LED Light Sign 9” USB Powered Desk or Wall Lamp Garage Decor Gift Orange,KTM LED Light Sign 9” USB Powered Desk or Wall Lamp Garage Decor Gift Orange,mercari;yahoo,5423,https://www.ebay.com/itm/157441345351?_skw=KTM&hash=item24a83c4747:g:Sc8AAeSwipFpCq0X&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGYuPcb1PICKV0s9Y8LVM23HEIVj4bhC7uj7%2FClR2Oe%2Fk2jXZt2mtH6qGoch2zxPqqfvlTjUlBZaesTESYpL92niOSs3gX%2FV39oalqIBBQL4rlM5DC4KVzjKfieICrqedvymt4viV%2BxGXHmWz7DvoiAZlNl4%2FRbXQj1L3tduroJZpEqoIgqgnVcBvSQ068eyE2%2BeexpxO%2FHNo7pzDAZl%2Fl9RApdbZjKExsW8tsJ4Yfc1pJsrMgoS7ZEDbJLrd5Zwg4l1w9IBBrHcH1yqTdh%2FiRna
041,"Mighty Max YTZ5S 12V, 4.5Ah, Replaces KTM 250 EXC 4-Stroke Offroad Motorcycle 03","Mighty Max YTZ5S 12V, 4.5Ah, Replaces KTM 250 EXC 4-Stroke Offroad Motorcycle 03",mercari;yahoo,4338,https://www.ebay.com/itm/136280865448?_skw=KTM&hash=item1fbaf8faa8:g:D28AAeSw--9qCy0E
042,"2Pcs Clutch Gasket Fits for KTM, Brake Master Cylinder Gasket Fits for Brembo US","2Pcs Clutch Gasket Fits for KTM, Brake Master Cylinder Gasket Fits for Brembo US",mercari;yahoo,1874,https://www.ebay.com/itm/358052826092?_skw=KTM&hash=item535d9c8bec:g:rUcAAeSwChBpTaGD
043,Kick Start Shaft Sleeve Gear Spring Kits for KTM50 50SX 1995-2018,Kick Start Shaft Sleeve Gear Spring Kits for KTM50 50SX 1995-2018,mercari;yahoo,3965,https://www.ebay.com/itm/147228651190?_skw=KTM&hash=item224782eeb6:g:LtcAAeSwRXppyC~j
044,3D PRINT KTM MOTORSPORTS LOGO KEYCHAIN NOSTALGIA RETRO FUN FOR ALL MOTORCYCLE,3D PRINT KTM MOTORSPORTS LOGO KEYCHAIN NOSTALGIA RETRO FUN FOR ALL MOTORCYCLE,mercari;yahoo,388,https://www.ebay.com/itm/317804551120?_skw=KTM&hash=item49fea09bd0:g:X-AAAeSwHOBpd1T1
045,KTM Graphic T-Shirt Men | Premium Cotton Tee | Streetwear Racing Style ATV Biker,KTM Graphic Tシャツ Men | Premium Cotton Tee | Streetwear Racing Style ATV Biker,mercari;yahoo,2711,https://www.ebay.com/itm/287260550795?_skw=KTM&hash=item42e210268b:g:P2EAAeSwf5Np1mpk
046,KTM 125 SX 1991-2024 - Motorcycle T-Shirt for Motocross Riders,KTM 125 SX 1991-2024 - Motorcycle Tシャツ for Motocross Riders,mercari;yahoo,4493,https://www.ebay.com/itm/276516149648?_skw=KTM&hash=item4061a59990:g:MXgAAOSwrHFmcxZB
047,"Red Bull KTM Factory Racing Motorsports Energy Drink Iron On Patch 3"" x 4""","Red Bull KTM Factory Racing Motorsports Energy Drink Iron On Patch 3"" x 4""",mercari;yahoo,1393,https://www.ebay.com/itm/227012319158?_skw=KTM&hash=item34dafd17b6:g:hn4AAeSwyv9o5MKg
048,"KTM RACING EMBROIDERED IRON ON PATCH 4""X2"" FREE SHIPPING & TRACKING","KTM RACING EMBROIDERED IRON ON PATCH 4""X2"" FREE SHIPPING & TRACKING",mercari;yahoo,928,https://www.ebay.com/itm/267419233057?_skw=KTM&hash=item3e436dab21:g:MGwAAeSwDwJpqkla
049,KTM 1290 Super Adventure Service Repair Manual 2016 - COIL BIND - TOUGH COVERS,KTM 1290 Super Adventure Service Repair Manual 2016 - COIL BIND - TOUGH COVERS,mercari;yahoo,6307,https://www.ebay.com/itm/267676727408?_skw=KTM&hash=item3e52c6b870:g:SAMAAeSwhPFqDz5S
050,KTM Racing Trucker Hat Mesh Back Embroidered Logo Black Snapback Cap,KTM Racing Trucker 帽子 Mesh Back Embroidered Logo Black Snapback キャップ,mercari;yahoo,3825,https://www.ebay.com/itm/406792616149?_skw=KTM&hash=item5eb6bab8d5:g:PkwAAeSwDz9pwK64
051,KKE 44T 48T 49T 50T 51T 52T Rear Hybrid Sprocket for KTM SX XC EXC XCW 125-530CC,KKE 44T 48T 49T 50T 51T 52T Rear Hybrid Sprocket for KTM SX XC EXC XCW 125-530CC,mercari;yahoo,9298,https://www.ebay.com/itm/256372848834?_skw=KTM&hash=item3bb10338c2:g:fKwAAOSwmBJln1it
052,Titanium Clutch Slave Cylinder Banjo Bolt Inc Bleeder Valve Ducati KTM Suzuki MV,Titanium Clutch Slave Cylinder Banjo Bolt Inc Bleeder Valve Ducati KTM Suzuki MV,mercari;yahoo,1621,https://www.ebay.com/itm/306553607660?_skw=KTM&hash=item476004d5ec:g:SmAAAeSwG4ho8d7f
053,KTM Racing FMF Hat SnapBack Cap RMF PATCH 9FIFTY,KTM Racing FMF 帽子 SnapBack キャップ RMF PATCH 9FIFTY,mercari;yahoo,2325,https://www.ebay.com/itm/287322194415?_skw=KTM&hash=item42e5bcc1ef:g:~KwAAeSwU0hp~K9r
054,Mighty Max YTX4L-BS SLA Replacement Battery compatible with KTM SX-F 350 450,Mighty Max YTX4L-BS SLA Replacement Battery compatible with KTM SX-F 350 450,mercari;yahoo,3098,https://www.ebay.com/itm/386252207625?_skw=KTM&hash=item59ee6cf609:g:KxEAAeSwTFBp9NhD
055,KTM Factory Racing Alpinestars Motorex AOP 3D Casual Shirt S5XL For Fan,KTM Factory Racing Alpinestars Motorex AOP 3D Casual シャツ S5XL For Fan,mercari;yahoo,4958,https://www.ebay.com/itm/135312400552?_skw=KTM&hash=item1f813f60a8:g:HQ4AAOSwB6ZnFcNg
056,Custom Name KTM Red B**l Racing 3D Lightweight Hoodie For Men,Custom Name KTM Red B**l Racing 3D Lightweight パーカー For Men,mercari;yahoo,5888,https://www.ebay.com/itm/127429679626?_skw=KTM&hash=item1dab669a0a:g:XKcAAeSws1Bo7Sd0
057,NEW! KTM REDBULL COWBOY HAT -  SUEDE BLACK - LARGE/X-LARGE - 58CM-61CM,NEW! KTM REDBULL COWBOY 帽子 - SUEDE BLACK - LARGE/X-LARGE - 58CM-61CM,mercari;yahoo,13948,https://www.ebay.com/itm/327090838122?_skw=KTM&hash=item4c28221a6a:g:F0EAAeSw7qNp1YFi
058,KTM Bionic Plus Knee Guard,KTM Bionic Plus Knee Guard,mercari;yahoo,6818,https://www.ebay.com/itm/298233478847?_skw=KTM&hash=item457019bebf:g:SGgAAeSwhANqELMe
059,New Era Red Bull KTM Motocross Racing Team Navy Adjustable Snapback Hat Cap OSFM,New Era Red Bull KTM Motocross Racing Team Navy Adjustable Snapback 帽子 キャップ OSFM,mercari;yahoo,5419,https://www.ebay.com/itm/387855047135?_skw=KTM&hash=item5a4df659df:g:UFsAAOSwMlNmWxi8
060,KTM Racing Aluminum License Plate laser etched car vehicle truck tag Man Cave,KTM Racing Aluminum License Plate laser etched car vehicle truck tag Man Cave,mercari;yahoo,2937,https://www.ebay.com/itm/306710645287?_skw=KTM&hash=item4769610a27:g:EfUAAeSwvrRpZ7Zq
061,"KTM Racing Black & Gray Embroidered Iron On Patch 2.75"" x 1.5""","KTM Racing Black & Gray Embroidered Iron On Patch 2.75"" x 1.5""",mercari;yahoo,1006,https://www.ebay.com/itm/226645389583?_skw=KTM&hash=item34c51e310f:g:TXkAAOSwAj1n0280
062,Foldable Clutch & Front Brake Lever Factory Set for KTM Husqvarna Black ,Foldable Clutch & Front Brake Lever Factory Set for KTM Husqvarna Black,mercari;yahoo,10060,https://www.ebay.com/itm/306842916492?_skw=KTM&hash=item477143568c:g:rsQAAeSwx~hpxCh6
