title,price,itemWebUrl,sellerUsername,condition,itemLocation,categoryPath,buyingOptions,searchKeyword
Dainese Hydra Flux 2 Air D-Dry Jacket Black/White - Size 52 EU .,114.99,https://www.ebay.com/itm/366303705194?_skw=Dainese&hash=item554966f86a:g:arEAAeSw7AxpxD7u,discountmotorsports2,Pre-owned,"850**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
Dainese Laguna Seca 5 Perforated Race Suit + Alpinestars Supertech R Boots,900.00,https://www.ebay.com/itm/206301412456?_skw=Dainese&hash=item300885bc68:g:zDQAAeSwaLBqFi1w,mets-1,New without tags,"100**, US","Racing & Riding Suits > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese Veloster Leather Jacket Size 48,400.00,https://www.ebay.com/itm/306988635079?_skw=Dainese&hash=item4779f2d3c7:g:XGcAAeSwROFqJbcH,shemax_62,Pre-owned,"908**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,AUCTION",Dainese
Motorcycle Tail Bag OGIO Performance DAinESE  Black SHIPS FREE NOW,149.00,https://www.ebay.com/itm/137250826251?_skw=Dainese&hash=item1ff4c9680b:g:I7MAAeSw2rlp6gi1,notyourfathersbeershirt,New other (see details),"805**, US","Other Luggage, Racks & Storage > eBay Motors > Parts & Accessories > Motorcycle & Scooter Parts & Accessories > Luggage, Racks & Storage",FIXED_PRICE,Dainese
DDP Vintage 1997 Dainese Moto Leather Jacket Racing Mens size 56,220.00,https://www.ebay.com/itm/127909015169?_skw=Dainese&hash=item1dc7f8ae81:g:yUsAAeSwmcNqJWo7,sh1010,Pre-owned,UA,"Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
"Dainese Super Speed D-Dry Motorcycle Jacket, size 54",225.00,https://www.ebay.com/itm/178157548744?_skw=Dainese&hash=item297b0474c8:g:PBwAAeSwrIhqESnj,cykcyk,Pre-owned,"773**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese 4 Stroke 2 Leather Racing Motorcycle Gloves Size XL ,219.00,https://www.ebay.com/itm/176816565617?_skw=Dainese&hash=item292b16ad71:g:hxsAAOSwlCdnnWWa,bradleyhunt22,New with tags,"891**, US","Gloves > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
Dainese Boots Mens 13 Black Nexus 2 Air Motorcycle Sport Racing Certified w Box,189.99,https://www.ebay.com/itm/336602476193?_skw=Dainese&hash=item4e5f122ea1:g:baQAAeSw5-9qFVQB,upperleftfinds,Pre-owned - Good,"981**, US","Boots > Clothing, Shoes & Accessories > Men's Shoes > Men",FIXED_PRICE,Dainese
Dainese Racing Motorcycle Jacket Black Red New with Tags Size 44,199.00,https://www.ebay.com/itm/398009361412?_skw=Dainese&hash=item5cab34e404:g:3O0AAeSwLbRqG68g,clareboganbanks_6,New with tags,"404**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese MIG Leather-Tex Jacket  EU50 Black/Red Medium Pre-Owned Great Condition,320.00,https://www.ebay.com/itm/127699934151?_skw=Dainese&hash=item1dbb825bc7:g:p2QAAeSwRL9pm8iW,o4sales,Pre-owned,"913**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese Men’s Black Leather Motorcycle Riding Jacket – Armored Racing Style,185.00,https://www.ebay.com/itm/397143906262?_skw=Dainese&hash=item5c779f17d6:g:5zAAAeSwZBJo6SXg,ram-799603,New with tags,AE,"Coats, Jackets & Vests > Men's Clothing > Clothing, Shoes & Accessories > Men","FIXED_PRICE,BEST_OFFER",Dainese
Dainese Energyca Air Shoes Boots Black/Anthracite Size 44/10.5 Energy New,199.00,https://www.ebay.com/itm/117228600911?_skw=Dainese&hash=item1b4b5e7e4f:g:NCIAAeSwgnNqHySP,weijicat,New with box,"900**, US","Boots & Shoes > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese Motorcycle Jacket Mens 50 Black Super Speed Tex Mesh Type S Riding Pads,127.49,https://www.ebay.com/itm/157807815728?_skw=Dainese&hash=item24be142c30:g:Z0QAAeSw4iBpbht7,dgthrifts,Pre-owned,"913**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese Denim Slim Women's Tex Pants Black | Size 28,114.99,https://www.ebay.com/itm/366228441645?_skw=Dainese&hash=item5544ea8a2d:g:~GAAAeSwdbZpn2sW,discountmotorsports2,Pre-owned,"850**, US","Motorcycle Pants & Chaps > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
Dainese Mangen Absoluteshell Pro Jacket Ebony/Black - Size 54 EU ,299.99,https://www.ebay.com/itm/366291508041?_skw=Dainese&hash=item5548acdb49:g:UxgAAeSwQQ9pvYH6,discountmotorsports2,Pre-owned,"850**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
